2|hhhhhhhhhhhhhhhhhhhhhh|0.50|#
3|hhhhhhhhhhhhhhhhhhhhhhh|0.75|#
4|hhhhhhhhhhhhhhhhhhhhhhhh|1.00|#
6|hhhhhhhhhhhhhhhhhhhhhhhhhh|1.50|#
7|WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW|1.75|#
8|hhhhhhhhhhhhhhhhhhhhhhhhhhhh|2.00|#
10|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|2.50|#
11|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|2.75|#
12|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|3.00|#
14|WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW|3.50|#
15|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|3.75|#
16|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|4.00|#
18|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|4.50|#
19|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|4.75|#
20|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|5.00|#
22|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|5.50|#
23|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|5.75|#
24|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|6.00|#
26|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|6.50|#
27|hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh|6.75|#
